,material,perm,a,b,c,d,e,x,b (tesla)
47,"Kool Mµ 
E-core, U-core, Block",26,0.027100899074641506,0.009151158326286173,0.0004035765941346118,0.07636467080142902,0.00039859503783833654,1.5153792894977383,0.2335105453435386
48,"Kool Mµ 
E-core, U-core, Block",40,0.049896760583184395,0.015374069837285795,0.000579248140532803,0.07262906906489489,0.000554184421843326,1.6888426963000145,0.3338802804057348
49,"Kool Mµ 
E-core, U-core, Block",60,0.042859201851125815,0.017870753733562898,0.0006044330325236047,0.06335013579156343,0.0005528535565697002,1.5862325330187232,0.44384202351716073
50,"Kool Mµ 
E-core, U-core, Block",90,0.03156914912973587,0.02185837767824823,0.0006059174456210997,0.05719503763905758,0.0005696110395550395,1.4763738336125987,0.5349486823622001
51,"XFlux E-core, U-core, Block",26,0.11263143023295125,0.021609594873487882,0.00047594711522512285,0.08359221473729318,0.00035822380868131686,2.223575136228604,0.24445361613946737
52,"XFlux E-core, U-core, Block",40,0.13180179060189579,0.026067027670404634,0.0007203435081014874,0.08601172302430841,0.0005547039411893552,2.245034956075546,0.37042922177602094
53,"XFlux E-core, U-core, Block",60,0.09020907321851239,0.010982868230330331,5.520403622355793e-05,0.010943849272413245,3.780807287458009e-05,1.6419225962840864,0.5377827515417862
54,High Flux EQ & LP,26,0.20128535887463042,0.05553558387077288,0.0009456631860051886,0.1484941151526704,0.000738901499515481,3.2067218228353527,0.2432155746065428
55,High Flux EQ & LP,40,0.06923311516958011,0.017111825094115685,0.0007255884642924636,0.0987321391434701,0.0004585364211700605,1.7219965932454355,0.3773381961443911
56,High Flux EQ & LP,60,0.04712185187376411,0.017151514139679625,0.0007430276318681554,0.07137822137092462,0.0004823861643084839,1.6307247055990945,0.5470351993362196
57,Kool Mµ EQ & LP,26,0.04488140095362318,0.01746563046978932,0.0005105764623561922,0.09446553637022352,0.0004341968438182317,1.8218490273290784,0.23757385311063559
58,Kool Mµ EQ & LP,40,0.04830928758604167,0.016365765715647553,0.0005832019193624816,0.07751080943590768,0.0005059198327550524,1.6918801982718834,0.3427604793149525
59,Kool Mµ EQ & LP,60,0.042859201851125815,0.017870753733562898,0.0006044330325236047,0.06335013579156343,0.0005528535565697002,1.5862325330187232,0.44384202351716073
60,XFlux EQ & LP,26,0.05322576122569954,0.016755245880530414,0.0005698780548800188,0.13306018276131007,0.00028692801737120966,1.6429688087998477,0.23878807294936452
61,XFlux EQ & LP,40,0.18698533486512336,0.04023258355436701,0.0009117397351707686,0.11249957022709851,0.0006536884459778143,2.6850161887447777,0.3776727826501685
62,XFlux EQ & LP,60,0.05234435247956428,0.0153270518002736,0.0007303744736344102,0.07100338899300526,0.000445173283471872,1.5829058705492893,0.5540130331706286
