,material,perm,a,b,c,roll-off (%),roll-off (μ)
31,XFlux,19,0.01,4.975733547973924e-09,2.235518590379107,0.9968841192905425,18.940798266520307
32,XFlux,26,0.01,6.304198828204351e-10,2.7138308977134478,0.9974341490361439,25.93328787493974
33,XFlux,40,0.01,1.8434466820745532e-08,2.358499169678752,0.9816097019544264,39.264388078177056
34,XFlux,60,0.01,1.4887928186541102e-08,2.612552871704276,0.9607279428226777,57.643676569360665
35,XFlux,75,0.01,2.26929389936937e-08,2.649401393277943,0.9328629741453144,69.96472306089858
36,XFlux,90,0.01,9.84144409752179e-08,2.4772252516933335,0.8627055945007909,77.64350350507118
37,XFlux,125,0.01,2.687054922930574e-07,2.4772252516933335,0.6970981770392075,87.13727212990094
38,75-Series,26,0.01,5.82217231592369e-07,1.6585866683192652,0.9631311588532019,25.041410130183248
39,75-Series,40,0.01,1.35841933068539e-06,1.6508404646967436,0.9202605747205767,36.81042298882306
40,75-Series,60,0.01,1.1010311917135724e-06,1.818949624018169,0.8806206189215483,52.837237135292895
41,Kool Mµ MAX,14,0.01,8.273767701444954e-09,2.2394290091721976,0.9947502323068238,13.926503252295532
42,Kool Mµ MAX,19,0.01,3.135641472272355e-08,2.11074536326397,0.9880546079835738,18.773037551687903
43,Kool Mµ MAX,26,0.01,3.44438084112034e-08,2.2053376776478877,0.9811356099657151,25.509525859108592
44,Kool Mµ MAX,40,0.01,5.919249166601869e-07,1.8552832463136577,0.9224996906720014,36.899987626880055
45,Kool Mµ MAX,60,0.01,5.917159763313609e-07,2.0,0.8711340206185567,52.2680412371134
46,"Kool Mµ E-core, U-core, Block",14,0.01,3.0659283048008397e-07,1.8502756989801954,0.9590760131487628,13.42706418408268
47,"Kool Mµ E-core, U-core, Block",26,0.01,4.5812287039341553e-07,1.8684790177606485,0.9359216567092244,24.333963074439836
48,"Kool Mµ E-core, U-core, Block",40,0.01,7.683548595115634e-07,1.9036268480906116,0.8835835436609216,35.34334174643686
49,"Kool Mµ E-core, U-core, Block",60,0.01,3.371220053521621e-06,1.7361064491754328,0.7691250397506093,46.14750238503656
50,"Kool Mµ E-core, U-core, Block",90,0.01,1.528687050818932e-05,1.5834881383771153,0.5716788266333951,51.451094397005555
51,"XFlux E-core, U-core, Block",26,0.01,3.0306598297111785e-09,2.5051162652390424,0.994563902006107,25.85866145215878
52,"XFlux E-core, U-core, Block",40,0.01,4.028276735296311e-08,2.2497980276157885,0.9739390383662665,38.95756153465066
53,"XFlux E-core, U-core, Block",60,0.01,7.780832842378197e-08,2.2534569616579643,0.9501817405934349,57.01090443560609
54,High Flux EQ & LP,26,0.01,2.312567332801025e-11,3.2432185573616303,0.9992520019597495,25.980552050953488
55,High Flux EQ & LP,40,0.01,8.995423041628221e-09,2.4407276777761937,0.98754619317662,39.5018477270648
56,High Flux EQ & LP,60,0.01,1.5829183964123617e-08,2.571991393701863,0.9642413982029386,57.85448389217632
57,Kool Mµ EQ & LP,26,0.01,2.2370439527919467e-07,1.90029635330771,0.9635178207988778,25.051463340770823
58,Kool Mµ EQ & LP,40,0.01,7.904689351462714e-07,1.8391433013935874,0.9047107595471063,36.18843038188425
59,Kool Mµ EQ & LP,60,0.01,3.371220053521621e-06,1.7361064491754328,0.7691250397506093,46.14750238503656
60,XFlux EQ & LP,26,0.01,7.955348967668432e-10,2.5298950283827044,0.9984217019686995,25.958964251186188
61,XFlux EQ & LP,40,0.01,2.4343189822329417e-09,2.612552871704276,0.9933605309673155,39.73442123869262
62,XFlux EQ & LP,60,0.01,9.730837309502961e-09,2.6252222383674413,0.9726914190088775,58.36148514053265
